Material,Amperage,Feed Rate,Pierce height,Cut height,Pierce delay,Anti-dive Velocity,Anti-dive delay,Torch voltage threshold,THC velocity,Kerf Width
Aluminum 1mm,45,8260,3.8,3.2,0,85,500,131,750,1.6
Aluminum 2mm,45,5970,3.8,3.2,100,85,500,140,750,1.8
Aluminum 3mm,45,3350,3.8,3.2,100,85,500,146,750,1.9
Aluminum 4mm,45,2210,3.8,3.2,100,85,500,150,750,1.9
Aluminum 6mm,45,1240,3.8,3.2,200,85,500,151,750,2.0
,,,,,,,,,,
Aluminum 2mm,65,9270,3.8,3.2,100,85,500,134,750,1.4
Aluminum 3mm,65,7540,3.8,3.2,100,85,500,134,750,1.5
Aluminum 4mm,65,5380,3.8,3.2,100,85,500,135,750,1.5
Aluminum 6mm,65,2900,3.8,3.2,200,85,500,137,750,1.6
Aluminum 8mm,65,1780,3.8,3.2,500,85,500,139,750,1.7
Aluminum 10mm,65,1220,4.8,3.2,700,85,500,142,750,1.8
Aluminum 12mm,65,940,4.8,3.2,1200,85,500,145,750,1.9
,,,,,,,,,,
Aluminum 3mm,85,7980,3.8,3.2,200,85,500,137,750,1.9
Aluminum 4mm,85,6050,3.8,3.2,200,85,500,138,750,2.0
Aluminum 6mm,85,3630,3.8,3.2,200,85,500,140,750,2.2
Aluminum 8mm,85,2440,3.8,3.2,500,85,500,142,750,2.4
Aluminum 10mm,85,1780,4.8,3.2,500,85,500,145,750,2.5
Aluminum 12mm,85,1400,4.8,3.2,500,85,500,148,750,2.6
Aluminum 16mm,85,940,4.8,3.2,1000,85,500,154,750,2.7
,,,,,,,,,,
,,,,,,,,,,
Stainless Steel 0.5mm,45,8890,3.8,3.2,0,85,500,127,750,1.1
Stainless Steel 1mm,45,8890,3.8,3.2,100,85,500,134,750,0.8
Stainless Steel 1.5mm,45,8890,3.8,3.2,100,85,500,138,750,0.7
Stainless Steel 2mm,45,6220,3.8,3.2,200,85,500,140,750,0.8
Stainless Steel 3mm,45,3230,3.8,3.2,400,85,500,141,750,1.4
Stainless Steel 4mm,45,1960,3.8,3.2,500,85,500,140,750,2.2
Stainless Steel 6mm,45,860,3.8,3.2,600,85,500,142,750,2.4
,,,,,,,,,,
Stainless Steel 2mm,65,8760,3.8,3.2,100,85,500,132,750,0.8
Stainless Steel 3mm,65,7650,3.8,3.2,100,85,500,132,750,1.1
Stainless Steel 4mm,65,5160,3.8,3.2,100,85,500,133,750,1.3
Stainless Steel 6mm,65,2440,3.8,3.2,200,85,500,133,750,1.6
Stainless Steel 8mm,65,1350,3.8,3.2,500,85,500,135,750,1.8
Stainless Steel 10mm,65,940,4.8,3.2,700,85,500,137,750,2.0
Stainless Steel 12mm,65,740,4.8,3.2,1200,85,500,139,750,2.1
,,,,,,,,,,
Stainless Steel 3mm,85,8100,3.8,3.2,200,85,500,132,750,1.3
Stainless Steel 4mm,85,6220,3.8,3.2,200,85,500,133,750,1.6
Stainless Steel 6mm,85,3630,3.8,3.2,200,85,500,135,750,2.0
Stainless Steel 8mm,85,2260,3.8,3.2,500,85,500,137,750,2.3
Stainless Steel 10mm,85,1500,4.8,3.2,500,85,500,139,750,2.4
Stainless Steel 12mm,85,1040,4.8,3.2,500,85,500,142,750,2.5
Stainless Steel 16mm,85,690,4.8,3.2,1000,85,500,147,750,2.5
,,,,,,,,,,
,,,,,,,,,,
Carbon Steel 0.5mm,45,8890,3.8,3.2,0,85,500,137,750,1.1
Carbon Steel 1mm,45,8890,3.8,3.2,100,85,500,138,750,1.4
Carbon Steel 1.5mm,45,8890,3.8,3.2,100,85,500,138,750,1.5
Carbon Steel 2mm,45,6600,3.8,3.2,200,85,500,139,750,1.7
Carbon Steel 3mm,45,3630,3.8,3.2,400,85,500,141,750,1.8
Carbon Steel 4mm,45,2260,3.8,3.2,400,85,500,142,750,1.9
Carbon Steel 6mm,45,1240,3.8,3.2,600,85,500,141,750,1.9
,,,,,,,,,,
Carbon Steel 3mm,65,5330,3.8,3.2,100,85,500,133,750,1.3
Carbon Steel 4mm,65,4220,3.8,3.2,100,85,500,133,750,1.4
Carbon Steel 6mm,65,2570,3.8,3.2,200,85,500,133,750,1.5
Carbon Steel 8mm,65,1550,3.8,3.2,500,85,500,135,750,1.7
Carbon Steel 10mm,65,1040,3.8,3.2,700,85,500,137,750,1.9
Carbon Steel 12mm,65,840,3.8,3.2,1200,85,500,139,750,2.0
Carbon Steel 16mm,65,560,6.4,3.2,2000,85,500,145,750,2.3
,,,,,,,,,,
Carbon Steel 3mm,85,6930,3.8,3.2,0,85,500,134,750,1.5
Carbon Steel 4mm,85,5560,3.8,3.2,200,85,500,134,750,1.7
Carbon Steel 6mm,85,3560,3.8,3.2,200,85,500,135,750,1.9
Carbon Steel 8mm,85,2360,3.8,3.2,500,85,500,136,750,2.1
Carbon Steel 10mm,85,1630,4.8,3.2,500,85,500,137,750,2.3
Carbon Steel 12mm,85,1240,4.8,3.2,500,85,500,138,750,2.4
Carbon Steel 16mm,85,840,4.8,3.2,1000,85,500,142,750,2.6
Carbon Steel 20mm,85,580,6.4,3.2,1500,85,500,147,750,2.8
